AF0133876514775|2013-07-17 15:12:51-0800|San Francisco, California, USA|Picked up from Union Square GDS Store
AF0133876514775|2013-07-17 18:33:29|South San Francisco, California, USA|Arrived at Sorting Center
AF0133876514775|2013-07-17 21:42:32|South San Francisco, California, USA|Departed Sorting Center
JR0914669936111|2013-07-18 12:02:11|Austin, Texas, USA|Picked up from Austin Drop Box
DH0895622326752|2013-07-18 13:32:44|Davis, California, USA|Picked up from Davis GDS Store
JR0914669936111|2013-07-18 15:06:47|Austin, Texas, USA|Arrived at Sorting Center
AF0133876514775|2013-07-18 16:19:45|Heathrow, United Kingdom|Arrived at Sorting Center
JR0914669936111|2013-07-18 16:58:22|Austin, Texas, USA|Departed Sorting Center
DH0895622326752|2013-07-18 18:33:27|Sacramento, California, USA|Arrived at Sorting Center
DH0895622326752|2013-07-19 03:11:53|Sacramento, California, USA|Departed Sorting Center
AF0133876514775|2013-07-19 09:22:18|Heathrow, United Kingdom|Released from Customs
JR0914669936111|2013-07-19 13:22:21|Schiphol, Netherlands|Arrived at Sorting Center
AF0133876514775|2013-07-19 14:49:27|Ascot, Berkshire|Arrived at Delivery Office
JR0914669936111|2013-07-19 16:49:33|Schiphol, Netherlands|Released from Customs
XB0110290819553|2013-07-19 18:02:36|Martinborough, New Zealand|Picked up from Martinborough Drop Box
XB0110290819553|2013-07-19 22:11:12|Auckland, New Zealand|Arrived at Sorting Center
JR0914669936111|2013-07-20 05:42:46|Amsterdam, Netherlands|Arrived at Delivery Office
AF0133876514775|2013-07-20 07:59:34|Ascot, Berkshire|Out for Delivery
JR0914669936111|2013-07-20 08:00:34|Amsterdam, Netherlands|Out for Delivery
XB0110290819553|2013-07-20 08:30:07|Auckland, New Zealand|Departed Sorting Center
AF0133876514775|2013-07-20 11:36:28|Ascot, Berkshire SL5 0JP|First Attempt to Deliver
XB0110290819553|2013-07-21 06:21:52|Los Angeles, California, USA|Arrived at Sorting Center
AF0133876514775|2013-07-21 08:02:22|Ascot, Berkshire|Out for Delivery
JR0914669936111|2013-07-21 10:15:31|PC Hooftstraat, Amsterdam, Netherlands|Delivered
AF0133876514775|2013-07-21 16:35:55|Ascot, Berkshire SL5 0JP|Delivered
XB0110290819553|2013-07-22 15:39:48|Los Angeles, California, USA|Released from Customs
DH0895622326752|2013-07-22 16:41:01|Lincoln, Nebraska, USA|Arrived at Sorting Center
XB0110290819553|2013-07-22 21:34:06|Portland, Oregon|Arrived at Sorting Center
XB0110290819553|2013-07-23 04:02:33|Portland, Oregon|Departed Sorting Center
XB0110290819553|2013-07-23 04:51:25|Dundee, Oregon|Delivered
DH0895622326752|2013-07-24 07:58:03|Lincoln, Nebraska, USA|Out for Delivery
DH0895622326752|2013-07-23 07:57:50|Lincoln, Nebraska, USA|Out for Delivery
DH0895622326752|2013-07-23 10:55:41|Lincoln, Nebraska, USA|First Attempt to Deliver
XB0110290819553|2013-07-23 13:02:57|McMinnville, Oregon|Out for Delivery
DH0895622326752|2013-07-24 10:14:18|Lincoln, Nebraska, USA|Delivered
